qname,qpattern,link
CombinationSum,Backtracking,https://leetcode.com/problems/combination-sum/
CombinationSum-II,Backtracking,https://leetcode.com/problems/combination-sum-ii/
CombinationSum-III,Backtracking,https://leetcode.com/problems/combination-sum-iii/
PartitiontoKEqualSumSubsets,Backtracking,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
PalindromePartitioning,Backtracking,https://leetcode.com/problems/palindrome-partitioning/
,K-thpermutationSequence,https://leetcode.com/problems/permutation-sequence/
Printallpermutationsofastring/array,Backtracking,https://leetcode.com/problems/permutations/
N-Queens,Backtracking,https://leetcode.com/problems/n-queens/
SudokuSolver,Backtracking,https://leetcode.com/problems/sudoku-solver/
RatinaMaze,Backtracking,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1
McoloringProblem,Backtracking,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1#
,CoinChange,https://leetcode.com/problems/coin-change/
,HouseRobber,https://leetcode.com/problems/house-robber/
,PartitionEqualSubsetSum,https://leetcode.com/problems/partition-equal-subset-sum/
,ClimbingStairs,https://leetcode.com/problems/climbing-stairs/
,MinimumPathSum,https://leetcode.com/problems/minimum-path-sum/
,MinimumInsertionStepstoMakeaStringPalindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/
,LongestCommonSubsequence(LCS),https://leetcode.com/problems/longest-common-subsequence/
,MinimumInsertions/DeletionstoConvertStringAtoString,https://practice.geeksforgeeks.org/problems/minimum-number-of-deletions-and-insertions020
,LongestCommonSubstring,https://practice.geeksforgeeks.org/problems/longest-common-substring1452/1/
,LongestPalindromicSubsequence,https://leetcode.com/problems/longest-palindromic-subsequence/
,MaximumLengthofRepeatedSubarray,https://leetcode.com/problems/longest-common-subsequence//
,0-1Knapsack,https://leetcode.com/problems/ones-and-zeroes/
,WordBreak,https://leetcode.com/problems/word-break/
IterativeInorderTraversal,BinaryTree,https://leetcode.com/problems/binary-tree-inorder-traversal/
IterativePreorderTraversal,BinaryTree,https://leetcode.com/problems/binary-tree-preorder-traversal/
IterativePostrderTraversal,BinaryTree,https://leetcode.com/problems/binary-tree-postorder-traversal/
MaximumDepthinBinaryTree,BinaryTree,https://leetcode.com/problems/maximum-depth-of-binary-tree/
CheckiftheBinarytreeisheight-balancedornot,BinaryTree,https://leetcode.com/problems/balanced-binary-tree/
DiameterofBinaryTree,BinaryTree,https://leetcode.com/problems/diameter-of-binary-tree/
MaximumpathsuminBinaryTree,BinaryTree,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Checkiftwotreesareidenticalornot,BinaryTree,https://leetcode.com/problems/same-tree/
ZigZagTraversalofBinaryTree,BinaryTree,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
BoundaryTraversalofBinaryTree,BinaryTree,https://leetcode.com/problems/boundary-of-binary-tree/#
MaxwidthofaBinaryTree,BinaryTree,https://leetcode.com/problems/maximum-width-of-binary-tree/
SumRoottoLeafNumbers,BinaryTree,https://leetcode.com/problems/sum-root-to-leaf-numbers/
LeftViewOfBinaryTree,BinaryTree,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1
RightViewOfBinaryTree,BinaryTree,https://leetcode.com/problems/binary-tree-right-side-view/
Verticalordertraversal,BinaryTree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/
BottomViewofBinaryTree,BinaryTree,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
TopViewofBinaryTree,BinaryTree,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1
SymmetricBinaryTree,BinaryTree,https://leetcode.com/problems/symmetric-tree/
LeastCommonAncestorinBinaryTree,BinaryTree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
PopulatingNextRightPointersinEachNode,BinaryTree,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/
AllNodesDistanceKinBinaryTree,BinaryTree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
MinimumtimetakentoBURNtheBinaryTreefromaNode,BinaryTree,https://www.youtube.com/watch?v=2r5wLmQfD6g&list=PLgUwDviBIf0q8Hkd7bK2Bpryj2xVJk8
SerializeandDeserializeaBinaryTree,BinaryTree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
FlattenBinaryTreetoLinkedList,BinaryTree,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
FindK-thsmallest/largestelementinBST,BinarySearchTree,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
CheckTreeisaBTisBSTornot,BinarySearchTree,https://leetcode.com/problems/validate-binary-search-tree/
FindLCAoftwonodesinBST,BinarySearchTree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
TwosuminBST,BinarySearchTree,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
BSTiterator,BinarySearchTree,https://leetcode.com/problems/binary-search-tree-iterator/
LargestBSTinaBinaryTree,BinarySearchTree,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/
WordLadder,BFS,https://leetcode.com/problems/word-ladder/
AlienDictionary,TopologicalSort,https://practice.geeksforgeeks.org/problems/alien-dictionary/1
NumberofIslands,DFS,https://leetcode.com/problems/number-of-islands
FindWordinGrid,DFS,https://leetcode.com/problems/word-search
Dijkstra'sAlgorithm(ShortestPathtoeveryVertex),BFS,https://practice.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1#
FloodFillAlgorithm,DFS,https://leetcode.com/problems/flood-fill/
RottingOranges,BFS,https://leetcode.com/problems/rotting-oranges
BreadthFirstSearch,BFS,https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1
DepthFirstSearch,DFS,https://practice.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1
DetectAcycleinUndirectedGraphusingBFS/DFS,BFS/DFS,https://leetcode.com/problems/course-schedule/
DetectAcycleinaDirectedGraphusingDFS,DFS,https://www.youtube.com/watch?v=uzVUw90ZFIg&list=PLgUwDviBIf0rGEWe64KWas0Nryn7SC
ShortestPathinDirectedAcyclicGraph(DAG),BFS,https://www.youtube.com/watch?v=CrxG4WJotgg&list=PLgUwDviBIf0rGEWe64KWas0Nryn7SC
TopologicalSort(DFS),DFS,https://www.youtube.com/watch?v=Yh6EFazXipA&list=PLgUwDviBIf0rGEWe64KWas0Nryn7SCR
CloneaGraph,DFS,https://leetcode.com/problems/clone-graph/
NumberofConnectedComponents,BFS/DFS,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
LRUCache,DoublyLinkedList,https://leetcode.com/problems/lru-cache
Firstnon-repeatingcharacterinastream,DoublyLinkedList,https://practice.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream/0
,ReverseaLinkedList,https://leetcode.com/problems/reverse-linked-list/
,RotateaLinkedList,https://leetcode.com/problems/rotate-list/
,FindthemiddleofLinkedList,https://leetcode.com/problems/middle-of-the-linked-list
,ReverseaLinkedListingroupsofsizek,https://leetcode.com/problems/reverse-nodes-in-k-group/
,DetectacycleinLinkedList,https://leetcode.com/problems/linked-list-cycle
,PalindromeLinkedList,https://leetcode.com/problems/palindrome-linked-list
,FindthestartingpointoftheLoopofLinkedList,https://leetcode.com/problems/linked-list-cycle-ii/
,RemoveloopinLinkedList,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1
,AddtwonumbersasLinkedList,https://leetcode.com/problems/add-two-numbers/
,MergetwosortedLinkedList,https://leetcode.com/problems/merge-two-sorted-lists/
,FlatteningofaLinkedList,https://practice.geeksforgeeks.org/problems/flattening-a-linked-list/1
,Checkforbalancedparentheses,https://leetcode.com/problems/valid-parentheses/
,NextGreaterElement,https://leetcode.com/problems/next-greater-element-i/
,ImplementMinStack,https://leetcode.com/problems/min-stack/
,SlidingWindowmaximum,https://leetcode.com/problems/sliding-window-maximum/
,Largestrectangleinahistogram,https://leetcode.com/problems/largest-rectangle-in-histogram/
,KthLargestElement,https://leetcode.com/problems/kth-largest-element-in-an-array/
,FindMedianfromDataStream,https://leetcode.com/problems/find-median-from-data-stream/
,MergeKsortedarrays,https://leetcode.com/problems/merge-k-sorted-lists/
,Kmostfrequentelements,https://leetcode.com/problems/top-k-frequent-elements/
,KClosestPointstoOrigin,https://leetcode.com/problems/k-closest-points-to-origin/
